Model,CPU,CPU specifications,GPU,Storage capacity,Removable storage,RAM,OS,Custom launcher,Dimensions,Weight in g,Battery,Recharge power,Display,Camera,Fingerprint sensor,Facial recognition
Samsung Galaxy M10,ExyNaNs 7870,Octa-core1.6Â GHz,Mali-T830 MP1,16 or 32 GB,microSD up to 512 GB,2/3 GB,Android 8.1,Samsung Experience 9.5,155.6 x 75.6 x 7.7Â mm,163,3400 mAh,MicroUSB,"6.2"" 1520x720 PLS TFT LCD",Dual 13 MP + 5 MP (rear camera) 5 MP (front camera),NaN,Yes
Samsung Galaxy M20,ExyNaNs 7904,Octa-core1.8Â GHz,Mali-G71 MP2,32 or 64 GB,microSD up to 512 GB,3/4 GB,Android 8.1,Samsung Experience 9.5,156.4 x 74.5 x 8.8Â mm,186,5000 mAh,USB-C 15W,"6.3"" 2340x1080 PLS TFT LCD",Dual 13 MP + 5 MP (rear camera) 8 MP (front camera),Rear-mounted,Yes
Samsung Galaxy M30/A40s,ExyNaNs 7904,Octa-core1.8Â GHz,Mali-G71 MP2,64 or 128 GB,microSD up to 512 GB,4/6 GB,Android 8.1,Samsung Experience 9.5,159 x 75.1 x 8.5Â mm,174,5000 mAh,USB-C 15W,"6.4"" 2340x1080 AMOLED",Triple 13 MP + 2x 5 MP (rear camera) 16 MP (front camera),Rear-mounted,Yes
Samsung Galaxy S10e,Snapdragon 855ExyNaNs 9820 Octa,Octa-coreSnapdragon 855 (1x 2.8Â GHz + 3x 2.4Â GHz + 4x 1.7Â GHz Kryo 485) ExyNaNs 9820 Octa (2x 2.7Â GHz Mongoose M4 + 2x 2.3Â GHz Cortex-A75 + 4x 1.9Â GHz Cortex-A55),AdreNaN 640 Mali-G76 MP12,128 or 256 GB,microSD up to 512 GB,6/8 GB,Android 9.0,One UI,142.2 x 69.9 x 7.9Â mm,150,3100 mAh,USB-C 15W Wireless 15W,"5.8"" 2280x1080 AMOLED",Dual 16 MP + 12 MP (rear camera) 10 MP (front camera),Side-mounted,Yes
Samsung Galaxy S10,Snapdragon 855ExyNaNs 9820 Octa,Octa-coreSnapdragon 855 (1x 2.8Â GHz + 3x 2.4Â GHz + 4x 1.7Â GHz Kryo 485) ExyNaNs 9820 Octa (2x 2.7Â GHz Mongoose M4 + 2x 2.3Â GHz Cortex-A75 + 4x 1.9Â GHz Cortex-A55),AdreNaN 640 Mali-G76 MP12,128 or 512 GB,microSD up to 512 GB,8 GB,Android 9.0,One UI,149.9 x 70.4 x 7.8Â mm,157,3400 mAh,USB-C 15W Wireless 15W,"6.1"" 3040x1440 AMOLED",Triple 12 MP + 12 MP + 16 MP (rear camera) 10 MP (front camera),Under screen,Yes
Samsung Galaxy S10+,Snapdragon 855ExyNaNs 9820 Octa,Octa-coreSnapdragon 855 (1x 2.8Â GHz + 3x 2.4Â GHz + 4x 1.7Â GHz Kryo 485) ExyNaNs 9820 Octa (2x 2.7Â GHz Mongoose M4 + 2x 2.3Â GHz Cortex-A75 + 4x 1.9Â GHz Cortex-A55),AdreNaN 640 Mali-G76 MP12,128/512/1024 GB,microSD up to 512 GB,8/12 GB,Android 9.0,One UI,157.6 x 74.1 x 7.8Â mm,175,4100 mAh,USB-C 15W Wireless 15W,"6.4"" 3040x1440 AMOLED",Triple 12 MP + 12 MP + 16 MP (rear camera) Dual 10 MP + 8 MP (front camera),Under screen,Yes
Samsung Galaxy S10 5G,Snapdragon 855ExyNaNs 9820 Octa,Octa-coreSnapdragon 855 (1x 2.8Â GHz + 3x 2.4Â GHz + 4x 1.7Â GHz Kryo 485) ExyNaNs 9820 Octa (2x 2.7Â GHz Mongoose M4 + 2x 2.3Â GHz Cortex-A75 + 4x 1.9Â GHz Cortex-A55),AdreNaN 640 Mali-G76 MP12,256 GB,NaN,8 GB,Android 9.0,One UI,162.6 x 77.1 x 7.9Â mm,198,4500 mAh,USB-C 25W Wireless 15W,"6.7"" 3040x1440 AMOLED",Quad 12 MP + 12 MP + 16 MP + ToF (rear camera) Dual 10 MP + ToF (front camera),Under screen,Yes
Samsung Galaxy NaNte 10,Snapdragon 855 ExyNaNs 9825 Octa,Octa-coreSnapdragon 855 (1x 2.8Â GHz + 3x 2.4Â GHz + 4x 1.7Â GHz Kryo 485) ExyNaNs 9825 Octa (2x 2.7Â GHz Mongoose M4 + 2x 2.4Â GHz Cortex-A75 + 4x 1.9Â GHz Cortex-A55),AdreNaN 640 Mali-G76 MP12,256 GB,NaN,8 GB,Android 9.0,One UI,151 x 71.8 x 7.9Â mm,168,3500 mAh,USB-C 25W Wireless 20W,"6.3"" 2280x1080 AMOLED",Triple 12 MP + 12 MP + 16 MP (rear camera) 10 MP (front camera),Under screen,Yes
Samsung Galaxy NaNte 10+,Snapdragon 855 ExyNaNs 9825 Octa,Octa-coreSnapdragon 855 (1x 2.8Â GHz + 3x 2.4Â GHz + 4x 1.7Â GHz Kryo 485) ExyNaNs 9825 Octa (2x 2.7Â GHz Mongoose M4 + 2x 2.4Â GHz Cortex-A75 + 4x 1.9Â GHz Cortex-A55),AdreNaN 640 Mali-G76 MP12,256 or 512 GB,microSD up to 512 GB,12 GB,Android 9.0,One UI,162.3 x 77.2 x 7.9Â mm,196,4300 mAh,USB-C 45W Wireless 20W,"6.8"" 3040x1440 AMOLED",Quad 12 MP + 12 MP + 16 MP + ToF (rear camera) 10 MP (front camera),Under screen,Yes
Samsung Galaxy Fold,Snapdragon 855,Octa-core2.8Â GHz (1x2.84Â GHz + 3x 2.42Â GHz + 4x 1.8Â GHz Kryo 485),AdreNaN 640,512 GB,NaN,12 GB,Android 9.0,One UI,Unfolded: 160.9 x 117.9 x 6.9Â mm Folded: 160.9 x 62.9 x 15.5Â mm,263,4380 mAh,USB-C 15W Wireless 15W,"7.3"" 2152x1536 AMOLED 4.6"" 1680x720 AMOLED (cover)",Triple 12 MP + 12 MP + 16 MP (rear camera) Dual 10 MP (cover) + 8 MP (front camera),Side-mounted,-
